name,price,status,shipping,free_returns,itemssold
"TCL 4 43S434 42.5"" Smart LED-LCD TV - 4K UHDTV",50499,Brand New,0,True,
New ListingBroksonic 9” TV VCR Combo Retro Gaming CRT TV CTSGT-2799T Portable RV Camping,7500,Pre-Owned,4126,False,
"Sony Bravia KDL-19M4000 19"" 720p HD LCD Television ",11999,Pre-Owned,0,True,
"CROSLEY Retro Custom 24"" FHD LED TV Model 3589 HD 1080P HDMI No Remote",23209,Pre-Owned,3896,True,
"Smart Tv Roku HD Led Hdmi Flat Screen Remote Control Wifi Easy Dualband 720p 32""",19584,Brand New,0,False,0
"Magnovox 36"" CRT TV Television w/ Remote, Manual - Great for Retro Gaming",12495,Pre-Owned,,False,
"Sansui CDVD9000B 9"" CRT TV Portable Television DVD Player Combo No Remote WORKS",12499,Pre-Owned,2000,False,
"New ListingBrand New LG 24LJ4540 24"" 720p LED TV - White ",11500,Brand New,990,False,
"White 13"" Panasonic PV-C1351W CRT TV / VCR Combo Retro Gaming Television TV",10999,Pre-Owned,7000,False,
"Sylvania 15"" LCD TV with Speakers & DVD Model SSL15D6 Tested",3850,Pre-Owned,9045,False,
"Emerson LC220EM1 22"" TV 720p HD LCD Television",3500,Pre-Owned,10319,False,
"New ListingViore PLC7V96 7"" 1080p HD LCD Television Pre-Owned!",995,Pre-Owned,2115,False,
"Emerson LD190EM1 19"" 720p HD LCD Television w built in DVD player HDMI monitor*2",15000,Pre-Owned,0,True,
Sony KD75X85J X85J 75 Inch Smart LED TV with Sony HT-G700 3.1 Ch Soundbar Bundle,259800,Brand New,0,False,0
,,,,False,
"jWIN JV-TV1010 5"" Analog LCD Television - VINTAGE NEVER USED - NIB",3200,New (Other),1355,False,
Sony XR75X95J 75 inch BRAVIA XR X95J Black UHD Smart LED TV 2021 Model,299800,Brand New,0,False,0
Digital Prism ATSC-710 7-inch Portable Handheld LCD TV,8635,Pre-Owned,825,True,
Sony XR75X95J 75 Inch BRAVIA XR X95J Black UHD Smart LED TV with Soundbar Bundle,359800,Brand New,0,False,0
